,BBIO Sentiment,BBIO Price,BBIO ROC,SPY Price,SPY ROC,RCKT Sentiment,RCKT Price,RCKT ROC,AMRX Sentiment,AMRX Price,AMRX ROC,META Sentiment,META Price,META ROC,TSM Sentiment,TSM Price,TSM ROC,BBIO Volatility,RCKT Volatility,AMRX Volatility,META Volatility,TSM Volatility,BBIO Article Volume,RCKT Article Volume,AMRX Article Volume,META Article Volume,TSM Article Volume
2024-06-03,0.0,28.979999542236328,-3.968252714615228,519.6306762695312,1.4891886879261573,0.0,21.93000030517578,1.9151849997686377,0.0,6.610000133514404,3.630858793804004,0.0,475.3885803222656,5.25875952244812,0.0,152.2554168701172,8.525335854292916,,,,,,0,0,0,0,0
2024-06-10,0.0,27.829999923706055,-2.155948196602886,527.3689575195312,2.1356849493189722,0.0,22.350000381469727,-5.145412075624534,0.0,6.849999904632568,-1.459852642697701,0.0,500.38812255859375,0.9019121997463131,0.0,165.23570251464844,5.73214957363577,4.079358531735639,2.266516799465394,1.4482910778289777,1.7918938486784657,3.271651823404023,0,0,0,0,0
2024-06-17,0.0,27.229999542236328,-15.53433570821474,538.6318969726562,-0.47688682479041233,0.0,21.200000762939453,13.490559434330795,0.0,6.75,-2.9629601372612835,0.0,504.90118408203125,-1.523796099779251,0.0,174.70726013183594,-5.320493309163665,2.9092330144938963,2.2539446226102937,1.8280151836401466,0.9073133876837778,1.9829996211531353,0,0,0,0,0
2024-06-24,0.0,23.0,9.565220708432399,536.063232421875,0.4790580744768791,0.0,24.059999465942383,-14.131337049043037,0.0,6.550000190734863,-1.9847345138219397,0.0,497.20751953125,1.1565140172506316,0.0,165.41197204589844,2.6935440529668675,6.097844602905945,4.82954969261172,0.8557185277630075,0.9501480067186803,2.141536896806496,0,0,0,0,0
2024-07-01,0.0,25.200000762939453,3.7301531676594113,538.6312866210938,1.8227216404426816,0.0,20.65999984741211,-0.04840381875941269,0.0,6.420000076293945,6.23053100644726,0.0,502.9577941894531,4.882306031319494,0.0,169.86741638183594,8.29802583101571,7.110954927510445,6.369924328761415,0.8872320462282113,1.7590971112823397,1.9756100537644168,0,0,0,0,0
2024-07-08,0.0,26.139999389648438,6.503446069752639,548.4490356445312,1.1255550291688454,0.0,20.649999618530273,9.200966845661874,0.0,6.820000171661377,8.211142649328163,0.0,527.5137329101562,-6.264635762662152,0.0,183.9630584716797,-0.7555032044500254,2.7548165338225847,2.8186193151703782,1.7854995478304614,2.8271530755821215,1.5382729254546306,0,0,0,0,0
2024-07-15,0.0,27.84000015258789,-4.202586457906998,554.6221313476562,-1.2252214141873496,0.0,22.549999237060547,6.784925669225639,0.0,7.380000114440918,0.94850533521329,0.0,494.4669189453125,-1.7655646358024968,0.0,182.57321166992188,-8.568189632563595,1.7099162177326117,1.4418505129384864,2.0376114638276572,3.2347677908317816,2.2943117286137067,0,0,0,0,0
2024-07-22,0.0,26.670000076293945,-1.4998110888114313,547.8267822265625,-1.7831131844867287,0.0,24.079999923706055,2.491695944230643,0.0,7.449999809265137,-1.4765054965564683,0.0,485.7367858886719,-4.450139957452026,0.0,166.92999267578125,-5.515211988675606,4.291620443839871,2.698830991179542,2.3154316973231226,2.948623213227715,3.5470191177014025,0,0,0,0,0
2024-07-29,0.0,26.270000457763672,-2.9311018056572213,538.0584106445312,-5.026073815709042,0.0,24.68000030517578,-19.12480211644595,0.0,7.340000152587891,-8.719350545205462,0.0,464.1208190917969,2.151553844473586,0.0,157.72344970703125,-7.537030680601409,2.6483580447169515,3.104116172869855,1.4357155911920245,2.7770033029419907,2.8283235657182693,0,0,0,0,0
2024-08-05,0.0,25.5,-5.647060917873004,511.01519775390625,3.071266996023758,0.0,19.959999084472656,-5.0601120634264145,0.0,6.699999809265137,12.537316067177962,0.0,474.10662841796875,8.454390279415058,0.0,145.83578491210938,13.301802752897363,1.645704367888055,2.737099375847426,1.9585406237234715,2.701582124709426,4.278182607019834,0,0,0,0,0
2024-08-12,0.0,24.059999465942383,4.613468973358881,526.7098388671875,4.939317100394058,0.0,18.950000762939453,1.319261160605989,0.0,7.539999961853027,8.09018116397089,0.0,514.189453125,2.58357785881147,0.0,165.2345733642578,4.66503577077193,2.0614854636008495,3.219558447747364,6.198389021603754,2.7295079961736617,3.855082524588877,0,0,0,0,0
2024-08-19,0.0,25.170000076293945,2.900276281380987,552.7257080078125,0.210869030852745,0.0,19.200000762939453,1.770834057695314,0.0,8.149999618530273,3.9263885089143358,0.0,527.4739379882812,-1.5417258679078394,0.0,172.9428253173828,-3.636356898780757,2.1249708602290145,2.2688042410855775,2.066674507299646,1.5363224699456581,1.4241436002591898,0,0,0,0,0
2024-08-26,0.0,25.899999618530273,7.528960585560451,553.8912353515625,0.5153304358347155,0.0,19.540000915527344,-3.5312205820282827,0.0,8.470000267028809,2.2432063092478582,0.0,519.3417358398438,0.03645596754924263,0.0,166.6540069580078,1.5555533377764164,2.3076340684178986,4.004769622820209,1.7055952733158044,1.1273828061547284,1.9078456433136517,0,0,0,0,0
2024-09-02,0.0,27.850000381469727,10.233394407297759,556.74560546875,-3.063786215757558,0.0,18.850000381469727,4.6684304666204435,0.0,8.65999984741211,-2.3094666603822533,0.0,519.5310668945312,-3.16893908679714,0.0,169.24639892578125,-5.195103884587182,5.6022252801930215,3.982457356637445,1.6519316790888972,0.6353104047043044,1.927142332167102,0,0,0,0,0
